fonte,estacao_codigo,data,variavel,valor,unidade
MonitorDeSecas-ANA,RS,2026-05-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_semSeca,30.010000000000005,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s0s4,69.99,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s1s4,1.11,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_semSeca,35.11,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s0s4,64.89,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_semSeca,37.5,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s0s4,62.5,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_semSeca,78.9,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s0s4,21.1,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2026-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_semSeca,66.12,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_s0s4,33.88,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_semSeca,96.64,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_s0s4,3.36,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-09-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_semSeca,91.81,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_s0s4,8.19,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_s1s4,1.34,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-08-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_semSeca,91.8,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_s0s4,8.2,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_s1s4,3.03,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-07-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_semSeca,93.0,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_s0s4,7.0,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_s1s4,3.02,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-06-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_semSeca,0.010000000000005116,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_s0s4,99.99,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_s1s4,88.62,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_s2s4,3.02,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_semSeca,0.010000000000005116,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_s0s4,99.99,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_s1s4,88.62,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_s2s4,51.05,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_semSeca,0.010000000000005116,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_s0s4,99.99,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_s1s4,88.63,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_s2s4,40.62,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_semSeca,0.010000000000005116,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_s0s4,99.99,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_s1s4,60.26,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_s2s4,31.8,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_semSeca,22.989999999999995,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_s0s4,77.01,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_s1s4,42.17,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_s2s4,31.8,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2025-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_semSeca,71.17,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_s0s4,28.83,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_semSeca,95.62,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_s0s4,4.38,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-09-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-08-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-07-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-06-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2024-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_semSeca,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_s0s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_semSeca,77.14,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_s0s4,22.86,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_s1s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-09-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_semSeca,44.98,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_s0s4,55.02,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_s1s4,37.25,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_s2s4,22.81,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-08-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_semSeca,32.150000000000006,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_s0s4,67.85,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_s1s4,42.66,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_s2s4,22.81,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-07-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_s1s4,88.88,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_s2s4,40.1,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-06-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_s1s4,96.11,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_s2s4,40.1,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-05-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_s1s4,96.11,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_s2s4,55.26,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-04-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s1s4,96.11,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s2s4,55.26,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-03-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s1s4,93.73,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s2s4,55.26,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-02-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s1s4,90.09,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s2s4,41.91,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s3s4,21.43,pct_area
MonitorDeSecas-ANA,RS,2023-01-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_semSeca,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s0s4,100.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s1s4,49.65,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s2s4,29.91,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-12-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_semSeca,6.049999999999997,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s0s4,93.95,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s1s4,29.32,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-11-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_semSeca,34.91,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s0s4,65.09,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s1s4,29.33,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-10-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_semSeca,50.28,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s0s4,49.72,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s1s4,29.29,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-09-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_semSeca,50.28,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s0s4,49.72,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s1s4,29.29,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s2s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s3s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-08-01,seca_s4,0.0,pct_area
MonitorDeSecas-ANA,RS,2022-07-01,seca_semSeca,50.28,pct_area
